# ./data/connectome.txt
# Nodes: 2723 Edges: 6915
# SrcNId	DstNId
0	12
0	26
0	338
1	12
1	21
1	26
1	338
2	12
2	17
2	21
2	26
3	211
4	1889
5	26
5	44
5	1029
6	21
6	54
8	9
8	26
9	12
9	26
10	67
10	68
10	84
10	758
10	2425
10	2441
11	12
11	338
12	22
12	26
12	31
12	51
13	12
14	15
14	19
14	21
14	338
15	25
15	26
15	193
16	193
17	2
17	9
17	21
17	23
17	26
17	193
18	21
18	23
18	26
19	21
20	14
20	21
21	32
21	34
21	38
21	188
21	196
21	207
22	32
22	198
22	777
22	1214
23	22
23	54
23	188
24	2176
25	251
25	766
25	929
26	12
26	37
26	42
26	211
27	22
27	53
27	188
27	338
28	402
28	572
28	1204
28	2425
28	2717
30	84
30	192
30	445
30	1950
30	2325
32	21
32	83
32	197
32	203
32	256
33	2592
33	2594
35	660
35	795
35	803
35	1098
35	1385
35	1473
35	1600
35	1607
35	2181
35	2361
35	2385
35	2437
35	2447
35	2494
35	2536
35	2670
36	887
36	975
36	1556
36	1765
37	38
37	51
38	12
38	23
38	203
38	207
39	75
39	192
39	197
39	400
39	681
39	901
39	1116
39	1334
39	2441
40	83
40	84
40	113
40	118
40	192
40	197
40	394
42	67
42	68
42	84
42	205
42	220
42	221
42	260
42	394
42	785
43	7
43	21
43	23
44	12
44	23
45	44
45	1029
46	9
46	12
46	26
46	27
47	65
47	85
47	108
47	133
47	135
47	136
47	137
47	138
47	139
47	170
47	215
48	68
48	84
48	394
49	363
49	1029
49	2405
50	26
50	51
50	53
50	55
50	289
50	1031
51	26
51	53
51	343
52	406
52	575
52	862
52	1208
52	2535
52	2665
53	30
53	42
53	56
53	366
53	505
53	2037
53	2604
54	21
54	23
54	27
55	42
55	205
55	2441
56	1086
56	2406
57	58
57	74
57	358
57	688
57	757
57	963
57	1106
57	1117
57	1889
57	2545
58	1829
59	2412
60	149
60	153
60	159
60	333
60	785
60	1645
62	30
62	69
62	86
62	103
62	112
62	133
62	135
62	149
62	154
62	170
62	174
62	199
62	201
62	206
62	333
62	372
62	510
62	598
62	615
62	618
62	634
62	762
62	780
62	820
62	833
62	835
62	843
62	876
62	889
62	1056
62	1086
62	1149
62	1223
62	1299
62	1950
62	2044
64	99
64	192
64	254
64	255
64	394
64	411
64	435
64	1874
64	2533
64	2586
67	2325
67	2464
68	208
68	313
68	314
68	316
68	317
68	318
68	319
68	320
68	321
